ano,escolas,municipios,inscritos
2005,31.031,10.520.831,93,5%
2006,32.655,14.181.705,94,5%
2007,38.450,17.341.732,98,1%
2008,40.397,18.326.029,98,7%
2009,43.854,19.198.710,99,1%
2010,44.717,19.665.928,99,16%
2011,44.691,18.720.068,98,9%
2012,46.728,19.166.371,99,42%
2013,47.144,18.762.859,99,35%
2014,46.711,18.192.526,99,41%
2015,47.580,17.972.333,99,48%
2016,47.474,17.839.424,99,59%
2017,53.231,18.240.497,99,57%
2018,54.498,18.237.996,99,44%
2019,54.831,18.158.775,99,71%
2021,53.375,17.774.936,99,84%
2022,54.488,18.159.636,99,78%
2023,55.383,18.369.125,99,87%
2024,56.516,18.498.709,99,89%
2025,57.222,18.617.336,99,93%
